sample_name,plate_well
PD191_organoid_169M_A01,A01
PD191_organoid_169M_A03,A03
PD191_organoid_169M_A05,A05
PD191_organoid_169M_A07,A07
PD191_organoid_169M_A09,A09
PD191_organoid_169M_A11,A11
PD191_organoid_169M_A13,A13
PD191_organoid_169M_A15,A15
PD191_organoid_169M_A17,A17
PD191_organoid_169M_A19,A19
PD191_organoid_169M_A21,A21
PD191_organoid_169M_A23,A23
PD191_organoid_169M_B01,B01
PD191_organoid_169M_B03,B03
PD191_organoid_169M_B05,B05
PD191_organoid_169M_B07,B07
PD191_organoid_169M_B09,B09
PD191_organoid_169M_B11,B11
PD191_organoid_169M_B13,B13
PD191_organoid_169M_B15,B15
PD191_organoid_169M_B17,B17
PD191_organoid_169M_B19,B19
PD191_organoid_169M_B21,B21
PD191_organoid_169M_B23,B23
PD191_organoid_169M_C01,C01
PD191_organoid_169M_C03,C03
PD191_organoid_169M_C05,C05
PD191_organoid_169M_C07,C07
PD191_organoid_169M_C09,C09
PD191_organoid_169M_C11,C11
PD191_organoid_169M_C13,C13
PD191_organoid_169M_C15,C15
PD191_organoid_169M_C17,C17
PD191_organoid_169M_C19,C19
PD191_organoid_169M_C21,C21
PD191_organoid_169M_C23,C23
PD191_organoid_169M_D01,D01
PD191_organoid_169M_D03,D03
PD191_organoid_169M_D05,D05
PD191_organoid_169M_D07,D07
PD191_organoid_169M_D09,D09
PD191_organoid_169M_D11,D11
PD191_organoid_169M_D13,D13
PD191_organoid_169M_D15,D15
PD191_organoid_169M_D17,D17
PD191_organoid_169M_D19,D19
PD191_organoid_169M_D21,D21
PD191_organoid_169M_D23,D23
PD191_organoid_169M_E01,E01
PD191_organoid_169M_E03,E03
PD191_organoid_169M_E05,E05
PD191_organoid_169M_E07,E07
PD191_organoid_169M_E09,E09
PD191_organoid_169M_E11,E11
PD191_organoid_169M_E13,E13
PD191_organoid_169M_E15,E15
PD191_organoid_169M_E17,E17
PD191_organoid_169M_E19,E19
PD191_organoid_169M_E21,E21
PD191_organoid_169M_E23,E23
PD191_organoid_169M_F01,F01
PD191_organoid_169M_F03,F03
PD191_organoid_169M_F05,F05
PD191_organoid_169M_F07,F07
PD191_organoid_169M_F09,F09
PD191_organoid_169M_F11,F11
PD191_organoid_169M_F13,F13
PD191_organoid_169M_F15,F15
PD191_organoid_169M_F17,F17
