sample_name,plate_well,donor_id
PD192_PBMCs_196M_77_A01,A01,77
PD192_PBMCs_196M_77_A03,A03,77
PD192_PBMCs_196M_77_A05,A05,77
PD192_PBMCs_196M_77_A07,A07,77
PD192_PBMCs_196M_77_A09,A09,77
PD192_PBMCs_196M_77_A11,A11,77
PD192_PBMCs_196M_77_A13,A13,77
PD192_PBMCs_196M_77_A15,A15,77
PD192_PBMCs_196M_77_A17,A17,77
PD192_PBMCs_196M_77_A19,A19,77
PD192_PBMCs_196M_77_A21,A21,77
PD192_PBMCs_196M_77_A23,A23,77
PD192_PBMCs_196M_77_B01,B01,77
PD192_PBMCs_196M_77_B03,B03,77
PD192_PBMCs_196M_77_B05,B05,77
PD192_PBMCs_196M_77_B07,B07,77
PD192_PBMCs_196M_77_B09,B09,77
PD192_PBMCs_196M_77_B11,B11,77
PD192_PBMCs_196M_77_B13,B13,77
PD192_PBMCs_196M_77_B15,B15,77
PD192_PBMCs_196M_77_B17,B17,77
PD192_PBMCs_196M_77_B19,B19,77
PD192_PBMCs_196M_77_B21,B21,77
PD192_PBMCs_196M_77_B23,B23,77
PD192_PBMCs_196M_77_C01,C01,77
PD192_PBMCs_196M_77_C03,C03,77
PD192_PBMCs_196M_77_C05,C05,77
PD192_PBMCs_196M_77_C07,C07,77
PD192_PBMCs_196M_77_C09,C09,77
PD192_PBMCs_196M_77_C11,C11,77
PD192_PBMCs_196M_77_C13,C13,77
PD192_PBMCs_196M_77_C15,C15,77
PD192_PBMCs_196M_77_C17,C17,77
PD192_PBMCs_196M_77_C19,C19,77
PD192_PBMCs_196M_77_C21,C21,77
PD192_PBMCs_196M_77_C23,C23,77
PD192_PBMCs_196M_77_D01,D01,77
PD192_PBMCs_196M_77_D03,D03,77
PD192_PBMCs_196M_77_D05,D05,77
PD192_PBMCs_196M_77_D07,D07,77
PD192_PBMCs_196M_77_D09,D09,77
PD192_PBMCs_196M_77_D11,D11,77
PD192_PBMCs_196M_77_D13,D13,77
PD192_PBMCs_196M_77_D15,D15,77
PD192_PBMCs_196M_77_D17,D17,77
PD192_PBMCs_196M_77_D19,D19,77
PD192_PBMCs_196M_77_D21,D21,77
PD192_PBMCs_196M_77_D23,D23,77
PD192_PBMCs_196M_77_E01,E01,77
PD192_PBMCs_196M_77_E03,E03,77
PD192_PBMCs_196M_77_E05,E05,77
PD192_PBMCs_196M_77_E07,E07,77
PD192_PBMCs_196M_77_E09,E09,77
PD192_PBMCs_196M_77_E11,E11,77
PD192_PBMCs_196M_77_E13,E13,77
PD192_PBMCs_196M_77_E15,E15,77
PD192_PBMCs_196M_77_E17,E17,77
PD192_PBMCs_196M_77_E19,E19,77
PD192_PBMCs_196M_77_E21,E21,77
PD192_PBMCs_196M_77_E23,E23,77
PD192_PBMCs_196M_77_F01,F01,77
PD192_PBMCs_196M_77_F03,F03,77
PD192_PBMCs_196M_77_F05,F05,77
PD192_PBMCs_196M_77_F07,F07,77
PD192_PBMCs_196M_77_F09,F09,77
PD192_PBMCs_196M_77_F11,F11,77
PD192_PBMCs_196M_77_F13,F13,77
PD192_PBMCs_196M_77_F15,F15,77
PD192_PBMCs_196M_77_F17,F17,77
PD192_PBMCs_196M_77_F19,F19,77
PD192_PBMCs_196M_77_F21,F21,77
PD192_PBMCs_196M_77_F23,F23,77
PD192_PBMCs_196M_77_G01,G01,77
PD192_PBMCs_196M_77_G03,G03,77
PD192_PBMCs_196M_77_G05,G05,77
PD192_PBMCs_196M_77_G07,G07,77
PD192_PBMCs_196M_77_G09,G09,77
PD192_PBMCs_196M_77_G11,G11,77
PD192_PBMCs_196M_77_G13,G13,77
PD192_PBMCs_196M_77_G15,G15,77
PD192_PBMCs_196M_77_G17,G17,77
PD192_PBMCs_196M_77_G19,G19,77
PD192_PBMCs_196M_77_G21,G21,77
PD192_PBMCs_196M_77_G23,G23,77
PD192_PBMCs_196M_77_H01,H01,77
PD192_PBMCs_196M_77_H03,H03,77
PD192_PBMCs_196M_77_H05,H05,77
PD192_PBMCs_196M_77_H07,H07,77
PD192_PBMCs_196M_77_H09,H09,77
PD192_PBMCs_196M_77_H11,H11,77
PD192_PBMCs_196M_77_H13,H13,77
PD192_PBMCs_196M_77_H15,H15,77
PD192_PBMCs_196M_77_H17,H17,77
PD192_PBMCs_196M_77_H19,H19,77
PD192_PBMCs_196M_77_H21,H21,77
PD192_PBMCs_196M_77_H23,H23,77
PD192_PBMCs_196M_3V_A02,A02,3V
PD192_PBMCs_196M_3V_A04,A04,3V
PD192_PBMCs_196M_3V_A06,A06,3V
PD192_PBMCs_196M_3V_A08,A08,3V
PD192_PBMCs_196M_3V_A10,A10,3V
PD192_PBMCs_196M_3V_A12,A12,3V
PD192_PBMCs_196M_3V_A14,A14,3V
PD192_PBMCs_196M_3V_A16,A16,3V
PD192_PBMCs_196M_3V_A18,A18,3V
PD192_PBMCs_196M_3V_A20,A20,3V
PD192_PBMCs_196M_3V_A22,A22,3V
PD192_PBMCs_196M_3V_A24,A24,3V
PD192_PBMCs_196M_3V_B02,B02,3V
PD192_PBMCs_196M_3V_B04,B04,3V
PD192_PBMCs_196M_3V_B06,B06,3V
PD192_PBMCs_196M_3V_B08,B08,3V
PD192_PBMCs_196M_3V_B10,B10,3V
PD192_PBMCs_196M_3V_B12,B12,3V
PD192_PBMCs_196M_3V_B14,B14,3V
PD192_PBMCs_196M_3V_B16,B16,3V
PD192_PBMCs_196M_3V_B18,B18,3V
PD192_PBMCs_196M_3V_B20,B20,3V
PD192_PBMCs_196M_3V_B22,B22,3V
PD192_PBMCs_196M_3V_B24,B24,3V
PD192_PBMCs_196M_3V_C02,C02,3V
PD192_PBMCs_196M_3V_C04,C04,3V
PD192_PBMCs_196M_3V_C06,C06,3V
PD192_PBMCs_196M_3V_C08,C08,3V
PD192_PBMCs_196M_3V_C10,C10,3V
PD192_PBMCs_196M_3V_C12,C12,3V
PD192_PBMCs_196M_3V_C14,C14,3V
PD192_PBMCs_196M_3V_C16,C16,3V
PD192_PBMCs_196M_3V_C18,C18,3V
PD192_PBMCs_196M_3V_C20,C20,3V
PD192_PBMCs_196M_3V_C22,C22,3V
PD192_PBMCs_196M_3V_C24,C24,3V
PD192_PBMCs_196M_3V_D02,D02,3V
PD192_PBMCs_196M_3V_D04,D04,3V
PD192_PBMCs_196M_3V_D06,D06,3V
PD192_PBMCs_196M_3V_D08,D08,3V
PD192_PBMCs_196M_3V_D10,D10,3V
PD192_PBMCs_196M_3V_D12,D12,3V
PD192_PBMCs_196M_3V_D14,D14,3V
PD192_PBMCs_196M_3V_D16,D16,3V
PD192_PBMCs_196M_3V_D18,D18,3V
PD192_PBMCs_196M_3V_D20,D20,3V
PD192_PBMCs_196M_3V_D22,D22,3V
PD192_PBMCs_196M_3V_D24,D24,3V
PD192_PBMCs_196M_3V_E02,E02,3V
PD192_PBMCs_196M_3V_E04,E04,3V
PD192_PBMCs_196M_3V_E06,E06,3V
PD192_PBMCs_196M_3V_E08,E08,3V
PD192_PBMCs_196M_3V_E10,E10,3V
PD192_PBMCs_196M_3V_E12,E12,3V
PD192_PBMCs_196M_3V_E14,E14,3V
PD192_PBMCs_196M_3V_E16,E16,3V
PD192_PBMCs_196M_3V_E18,E18,3V
PD192_PBMCs_196M_3V_E20,E20,3V
PD192_PBMCs_196M_3V_E22,E22,3V
PD192_PBMCs_196M_3V_E24,E24,3V
PD192_PBMCs_196M_3V_F02,F02,3V
PD192_PBMCs_196M_3V_F04,F04,3V
PD192_PBMCs_196M_3V_F06,F06,3V
PD192_PBMCs_196M_3V_F08,F08,3V
PD192_PBMCs_196M_3V_F10,F10,3V
PD192_PBMCs_196M_3V_F12,F12,3V
PD192_PBMCs_196M_3V_F14,F14,3V
PD192_PBMCs_196M_3V_F16,F16,3V
PD192_PBMCs_196M_3V_F18,F18,3V
PD192_PBMCs_196M_3V_F20,F20,3V
PD192_PBMCs_196M_3V_F22,F22,3V
PD192_PBMCs_196M_3V_F24,F24,3V
PD192_PBMCs_196M_3V_G02,G02,3V
PD192_PBMCs_196M_3V_G04,G04,3V
PD192_PBMCs_196M_3V_G06,G06,3V
PD192_PBMCs_196M_3V_G08,G08,3V
PD192_PBMCs_196M_3V_G10,G10,3V
PD192_PBMCs_196M_3V_G12,G12,3V
PD192_PBMCs_196M_3V_G14,G14,3V
PD192_PBMCs_196M_3V_G16,G16,3V
PD192_PBMCs_196M_3V_G18,G18,3V
PD192_PBMCs_196M_3V_G20,G20,3V
PD192_PBMCs_196M_3V_G22,G22,3V
PD192_PBMCs_196M_3V_G24,G24,3V
PD192_PBMCs_196M_3V_H02,H02,3V
PD192_PBMCs_196M_3V_H04,H04,3V
PD192_PBMCs_196M_3V_H06,H06,3V
PD192_PBMCs_196M_3V_H08,H08,3V
PD192_PBMCs_196M_3V_H10,H10,3V
PD192_PBMCs_196M_3V_H12,H12,3V
PD192_PBMCs_196M_3V_H14,H14,3V
PD192_PBMCs_196M_3V_H16,H16,3V
PD192_PBMCs_196M_3V_H18,H18,3V
PD192_PBMCs_196M_3V_H20,H20,3V
PD192_PBMCs_196M_3V_H22,H22,3V
PD192_PBMCs_196M_3V_H24,H24,3V
PD192_PBMCs_196M_0L_I01,I01,0L
PD192_PBMCs_196M_0L_I03,I03,0L
PD192_PBMCs_196M_0L_I05,I05,0L
PD192_PBMCs_196M_0L_I07,I07,0L
PD192_PBMCs_196M_0L_I09,I09,0L
PD192_PBMCs_196M_0L_I11,I11,0L
PD192_PBMCs_196M_0L_I13,I13,0L
PD192_PBMCs_196M_0L_I15,I15,0L
PD192_PBMCs_196M_0L_I17,I17,0L
PD192_PBMCs_196M_0L_I19,I19,0L
PD192_PBMCs_196M_0L_I21,I21,0L
PD192_PBMCs_196M_0L_I23,I23,0L
PD192_PBMCs_196M_0L_J01,J01,0L
PD192_PBMCs_196M_0L_J03,J03,0L
PD192_PBMCs_196M_0L_J05,J05,0L
PD192_PBMCs_196M_0L_J07,J07,0L
PD192_PBMCs_196M_0L_J09,J09,0L
PD192_PBMCs_196M_0L_J11,J11,0L
PD192_PBMCs_196M_0L_J13,J13,0L
PD192_PBMCs_196M_0L_J15,J15,0L
PD192_PBMCs_196M_0L_J17,J17,0L
PD192_PBMCs_196M_0L_J19,J19,0L
PD192_PBMCs_196M_0L_J21,J21,0L
PD192_PBMCs_196M_0L_J23,J23,0L
PD192_PBMCs_196M_0L_K01,K01,0L
PD192_PBMCs_196M_0L_K03,K03,0L
PD192_PBMCs_196M_0L_K05,K05,0L
PD192_PBMCs_196M_0L_K07,K07,0L
PD192_PBMCs_196M_0L_K09,K09,0L
PD192_PBMCs_196M_0L_K11,K11,0L
PD192_PBMCs_196M_0L_K13,K13,0L
PD192_PBMCs_196M_0L_K15,K15,0L
PD192_PBMCs_196M_0L_K17,K17,0L
PD192_PBMCs_196M_0L_K19,K19,0L
PD192_PBMCs_196M_0L_K21,K21,0L
PD192_PBMCs_196M_0L_K23,K23,0L
PD192_PBMCs_196M_0L_L01,L01,0L
PD192_PBMCs_196M_0L_L03,L03,0L
PD192_PBMCs_196M_0L_L05,L05,0L
PD192_PBMCs_196M_0L_L07,L07,0L
PD192_PBMCs_196M_0L_L09,L09,0L
PD192_PBMCs_196M_0L_L11,L11,0L
PD192_PBMCs_196M_0L_L13,L13,0L
PD192_PBMCs_196M_0L_L15,L15,0L
PD192_PBMCs_196M_0L_L17,L17,0L
PD192_PBMCs_196M_0L_L19,L19,0L
PD192_PBMCs_196M_0L_L21,L21,0L
PD192_PBMCs_196M_0L_L23,L23,0L
PD192_PBMCs_196M_0L_M01,M01,0L
PD192_PBMCs_196M_0L_M03,M03,0L
PD192_PBMCs_196M_0L_M05,M05,0L
PD192_PBMCs_196M_0L_M07,M07,0L
PD192_PBMCs_196M_0L_M09,M09,0L
PD192_PBMCs_196M_0L_M11,M11,0L
PD192_PBMCs_196M_0L_M13,M13,0L
PD192_PBMCs_196M_0L_M15,M15,0L
PD192_PBMCs_196M_0L_M17,M17,0L
PD192_PBMCs_196M_0L_M19,M19,0L
PD192_PBMCs_196M_0L_M21,M21,0L
PD192_PBMCs_196M_0L_M23,M23,0L
PD192_PBMCs_196M_0L_N01,N01,0L
PD192_PBMCs_196M_0L_N03,N03,0L
PD192_PBMCs_196M_0L_N05,N05,0L
PD192_PBMCs_196M_0L_N07,N07,0L
PD192_PBMCs_196M_0L_N09,N09,0L
PD192_PBMCs_196M_0L_N11,N11,0L
PD192_PBMCs_196M_0L_N13,N13,0L
PD192_PBMCs_196M_0L_N15,N15,0L
PD192_PBMCs_196M_0L_N17,N17,0L
PD192_PBMCs_196M_0L_N19,N19,0L
PD192_PBMCs_196M_0L_N21,N21,0L
PD192_PBMCs_196M_0L_N23,N23,0L
PD192_PBMCs_196M_0L_O01,O01,0L
PD192_PBMCs_196M_0L_O03,O03,0L
PD192_PBMCs_196M_0L_O05,O05,0L
PD192_PBMCs_196M_0L_O07,O07,0L
