sample_name,plate_well,cell_line
PD193_fivelines_383k_JurkatCas9TCRlib_A01,A01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A03,A03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A05,A05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A07,A07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A09,A09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A11,A11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A13,A13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A15,A15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A17,A17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A19,A19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A21,A21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_A23,A23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B01,B01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B03,B03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B05,B05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B07,B07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B09,B09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B11,B11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B13,B13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B15,B15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B17,B17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B19,B19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B21,B21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_B23,B23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C01,C01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C03,C03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C05,C05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C07,C07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C09,C09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C11,C11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C13,C13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C15,C15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C17,C17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C19,C19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C21,C21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_C23,C23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D01,D01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D03,D03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D05,D05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D07,D07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D09,D09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D11,D11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D13,D13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D15,D15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D17,D17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D19,D19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D21,D21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_D23,D23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E01,E01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E03,E03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E05,E05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E07,E07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E09,E09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E11,E11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E13,E13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E15,E15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E17,E17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E19,E19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E21,E21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_E23,E23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F01,F01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F03,F03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F05,F05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F07,F07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F09,F09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F11,F11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F13,F13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F15,F15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F17,F17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F19,F19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F21,F21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_F23,F23,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G01,G01,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G03,G03,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G05,G05,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G07,G07,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G09,G09,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G11,G11,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G13,G13,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G15,G15,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G17,G17,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G19,G19,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G21,G21,JurkatCas9TCRlib
PD193_fivelines_383k_JurkatCas9TCRlib_G23,G23,JurkatCas9TCRlib
PD193_fivelines_383k_HEK293T_H01,H01,HEK293T
PD193_fivelines_383k_HEK293T_H03,H03,HEK293T
PD193_fivelines_383k_HEK293T_H05,H05,HEK293T
PD193_fivelines_383k_HEK293T_H07,H07,HEK293T
PD193_fivelines_383k_HEK293T_H09,H09,HEK293T
PD193_fivelines_383k_HEK293T_H11,H11,HEK293T
PD193_fivelines_383k_HEK293T_H13,H13,HEK293T
PD193_fivelines_383k_HEK293T_H15,H15,HEK293T
PD193_fivelines_383k_HEK293T_H17,H17,HEK293T
PD193_fivelines_383k_HEK293T_H19,H19,HEK293T
PD193_fivelines_383k_HEK293T_H21,H21,HEK293T
PD193_fivelines_383k_HEK293T_H23,H23,HEK293T
PD193_fivelines_383k_K562_A02,A02,K562
PD193_fivelines_383k_K562_A04,A04,K562
PD193_fivelines_383k_K562_A06,A06,K562
PD193_fivelines_383k_K562_A08,A08,K562
PD193_fivelines_383k_K562_A10,A10,K562
PD193_fivelines_383k_K562_A12,A12,K562
PD193_fivelines_383k_K562_A14,A14,K562
PD193_fivelines_383k_K562_A16,A16,K562
PD193_fivelines_383k_K562_A18,A18,K562
PD193_fivelines_383k_K562_A20,A20,K562
PD193_fivelines_383k_K562_A22,A22,K562
PD193_fivelines_383k_K562_A24,A24,K562
