sample_name,plate_well
PD193_humanmouse_153M_A01,A01
PD193_humanmouse_153M_A03,A03
PD193_humanmouse_153M_A05,A05
PD193_humanmouse_153M_A07,A07
PD193_humanmouse_153M_A09,A09
PD193_humanmouse_153M_A11,A11
PD193_humanmouse_153M_A13,A13
PD193_humanmouse_153M_A15,A15
PD193_humanmouse_153M_A17,A17
PD193_humanmouse_153M_A19,A19
PD193_humanmouse_153M_A21,A21
PD193_humanmouse_153M_A23,A23
PD193_humanmouse_153M_B01,B01
PD193_humanmouse_153M_B03,B03
PD193_humanmouse_153M_B05,B05
PD193_humanmouse_153M_B07,B07
PD193_humanmouse_153M_B09,B09
PD193_humanmouse_153M_B11,B11
PD193_humanmouse_153M_B13,B13
PD193_humanmouse_153M_B15,B15
PD193_humanmouse_153M_B17,B17
PD193_humanmouse_153M_B19,B19
PD193_humanmouse_153M_B21,B21
PD193_humanmouse_153M_B23,B23
PD193_humanmouse_153M_C01,C01
PD193_humanmouse_153M_C03,C03
PD193_humanmouse_153M_C05,C05
PD193_humanmouse_153M_C07,C07
PD193_humanmouse_153M_C09,C09
PD193_humanmouse_153M_C11,C11
PD193_humanmouse_153M_C13,C13
PD193_humanmouse_153M_C15,C15
PD193_humanmouse_153M_C17,C17
PD193_humanmouse_153M_C19,C19
PD193_humanmouse_153M_C21,C21
PD193_humanmouse_153M_C23,C23
PD193_humanmouse_153M_D01,D01
PD193_humanmouse_153M_D03,D03
PD193_humanmouse_153M_D05,D05
PD193_humanmouse_153M_D07,D07
PD193_humanmouse_153M_D09,D09
PD193_humanmouse_153M_D11,D11
PD193_humanmouse_153M_D13,D13
PD193_humanmouse_153M_D15,D15
PD193_humanmouse_153M_D17,D17
PD193_humanmouse_153M_D19,D19
PD193_humanmouse_153M_D21,D21
PD193_humanmouse_153M_D23,D23
PD193_humanmouse_153M_E01,E01
PD193_humanmouse_153M_E03,E03
PD193_humanmouse_153M_E05,E05
PD193_humanmouse_153M_E07,E07
PD193_humanmouse_153M_E09,E09
PD193_humanmouse_153M_E11,E11
PD193_humanmouse_153M_E13,E13
PD193_humanmouse_153M_E15,E15
PD193_humanmouse_153M_E17,E17
PD193_humanmouse_153M_E19,E19
PD193_humanmouse_153M_E21,E21
PD193_humanmouse_153M_E23,E23
PD193_humanmouse_153M_F01,F01
PD193_humanmouse_153M_F03,F03
PD193_humanmouse_153M_F05,F05
PD193_humanmouse_153M_F07,F07
PD193_humanmouse_153M_F09,F09
PD193_humanmouse_153M_F11,F11
PD193_humanmouse_153M_F13,F13
PD193_humanmouse_153M_F15,F15
PD193_humanmouse_153M_F17,F17
PD193_humanmouse_153M_F19,F19
PD193_humanmouse_153M_F21,F21
PD193_humanmouse_153M_F23,F23
PD193_humanmouse_153M_G01,G01
PD193_humanmouse_153M_G03,G03
PD193_humanmouse_153M_G05,G05
PD193_humanmouse_153M_G07,G07
PD193_humanmouse_153M_G09,G09
PD193_humanmouse_153M_G11,G11
PD193_humanmouse_153M_G13,G13
PD193_humanmouse_153M_G15,G15
PD193_humanmouse_153M_G17,G17
PD193_humanmouse_153M_G19,G19
PD193_humanmouse_153M_G21,G21
PD193_humanmouse_153M_G23,G23
PD193_humanmouse_153M_H01,H01
PD193_humanmouse_153M_H03,H03
PD193_humanmouse_153M_H05,H05
PD193_humanmouse_153M_H07,H07
PD193_humanmouse_153M_H09,H09
PD193_humanmouse_153M_H11,H11
PD193_humanmouse_153M_H13,H13
PD193_humanmouse_153M_H15,H15
PD193_humanmouse_153M_H17,H17
PD193_humanmouse_153M_H19,H19
PD193_humanmouse_153M_H21,H21
PD193_humanmouse_153M_H23,H23
PD193_humanmouse_153M_A02,A02
PD193_humanmouse_153M_A04,A04
PD193_humanmouse_153M_A06,A06
PD193_humanmouse_153M_A08,A08
PD193_humanmouse_153M_A10,A10
PD193_humanmouse_153M_A12,A12
PD193_humanmouse_153M_A14,A14
PD193_humanmouse_153M_A16,A16
PD193_humanmouse_153M_A18,A18
PD193_humanmouse_153M_A20,A20
PD193_humanmouse_153M_A22,A22
PD193_humanmouse_153M_A24,A24
PD193_humanmouse_153M_B02,B02
PD193_humanmouse_153M_B04,B04
PD193_humanmouse_153M_B06,B06
PD193_humanmouse_153M_B08,B08
PD193_humanmouse_153M_B10,B10
PD193_humanmouse_153M_B12,B12
PD193_humanmouse_153M_B14,B14
PD193_humanmouse_153M_B16,B16
PD193_humanmouse_153M_B18,B18
PD193_humanmouse_153M_B20,B20
PD193_humanmouse_153M_B22,B22
PD193_humanmouse_153M_B24,B24
PD193_humanmouse_153M_C02,C02
PD193_humanmouse_153M_C04,C04
PD193_humanmouse_153M_C06,C06
PD193_humanmouse_153M_C08,C08
PD193_humanmouse_153M_C10,C10
PD193_humanmouse_153M_C12,C12
PD193_humanmouse_153M_C14,C14
PD193_humanmouse_153M_C16,C16
PD193_humanmouse_153M_C18,C18
PD193_humanmouse_153M_C20,C20
PD193_humanmouse_153M_C22,C22
PD193_humanmouse_153M_C24,C24
PD193_humanmouse_153M_D02,D02
PD193_humanmouse_153M_D04,D04
PD193_humanmouse_153M_D06,D06
PD193_humanmouse_153M_D08,D08
PD193_humanmouse_153M_D10,D10
PD193_humanmouse_153M_D12,D12
PD193_humanmouse_153M_D14,D14
PD193_humanmouse_153M_D16,D16
PD193_humanmouse_153M_D18,D18
PD193_humanmouse_153M_D20,D20
PD193_humanmouse_153M_D22,D22
PD193_humanmouse_153M_D24,D24
PD193_humanmouse_153M_E02,E02
PD193_humanmouse_153M_E04,E04
PD193_humanmouse_153M_E06,E06
PD193_humanmouse_153M_E08,E08
PD193_humanmouse_153M_E10,E10
PD193_humanmouse_153M_E12,E12
PD193_humanmouse_153M_E14,E14
PD193_humanmouse_153M_E16,E16
PD193_humanmouse_153M_E18,E18
PD193_humanmouse_153M_E20,E20
PD193_humanmouse_153M_E22,E22
PD193_humanmouse_153M_E24,E24
PD193_humanmouse_153M_F02,F02
PD193_humanmouse_153M_F04,F04
PD193_humanmouse_153M_F06,F06
PD193_humanmouse_153M_F08,F08
PD193_humanmouse_153M_F10,F10
PD193_humanmouse_153M_F12,F12
PD193_humanmouse_153M_F14,F14
PD193_humanmouse_153M_F16,F16
PD193_humanmouse_153M_F18,F18
PD193_humanmouse_153M_F20,F20
PD193_humanmouse_153M_F22,F22
PD193_humanmouse_153M_F24,F24
PD193_humanmouse_153M_G02,G02
PD193_humanmouse_153M_G04,G04
PD193_humanmouse_153M_G06,G06
PD193_humanmouse_153M_G08,G08
PD193_humanmouse_153M_G10,G10
PD193_humanmouse_153M_G12,G12
PD193_humanmouse_153M_G14,G14
PD193_humanmouse_153M_G16,G16
PD193_humanmouse_153M_G18,G18
PD193_humanmouse_153M_G20,G20
PD193_humanmouse_153M_G22,G22
PD193_humanmouse_153M_G24,G24
PD193_humanmouse_153M_H02,H02
PD193_humanmouse_153M_H04,H04
PD193_humanmouse_153M_H06,H06
PD193_humanmouse_153M_H08,H08
PD193_humanmouse_153M_H10,H10
